trial_id,observed_rate,n,y,prior_mean,abs_error,coverage_95,interval_lower,interval_upper,interval_width,log_pred_score,ess,method
endurance_vrd,0.0721062618595825,527,38,0.4314065376452569,0.35930027578567436,0,0.07816259935498238,0.8750798813998699,0.7969172820448875,-6.323881842668306,5.577194876351537,KG-DAP
forte_krd12,0.5569620253164557,158,88,0.4633973030550743,0.09356472226138135,1,0.06918890401721,0.8752064146101475,0.8060175105929375,-4.39525342853722,4.074448570077039,KG-DAP
forte_krd_asct,0.5822784810126582,158,92,0.5129601630767375,0.06931831793592069,1,0.09923124685883522,0.875187773257494,0.7759565263986588,-4.194370334119122,5.8454989603179905,KG-DAP
gmmg_concept_isakrd,0.6767676767676768,99,67,0.6157714948541789,0.06099618191349787,1,0.12057441100478172,0.8761370293796062,0.7555626183748245,-3.8422627962496176,5.745556017788611,KG-DAP
gmmghd7_isavrd,0.5,330,165,0.5612942252516141,0.0612942252516141,1,0.11112571135163307,0.8753893710672855,0.7642636597156525,-5.460633544522251,5.778122915071832,KG-DAP
gmmghd7_vrd,0.3606060606060606,330,119,0.5036991832490274,0.1430931226429668,1,0.09374131634831429,0.8750387094914913,0.781297393143177,-5.644059633622682,6.958556563916359,KG-DAP
griffin_dvrd,0.6442307692307693,104,67,0.5778313005898799,0.06639946864088941,1,0.11417137458920479,0.8751341141760349,0.7609627395868301,-3.8966074403539785,5.95666292402486,KG-DAP
griffin_vrd,0.3009708737864077,103,31,0.5095835718693104,0.20861269808290267,1,0.09119856730103493,0.8750406242907047,0.7838420569896698,-4.6704239081705055,7.591352931495127,KG-DAP
ifm2009_vrd_asct,0.6285714285714286,350,220,0.47089080677095474,0.15768062180047382,1,0.09374326840043068,0.8750401251018047,0.781296856701374,-5.743117758603537,7.044574099894952,KG-DAP
ifm2009_vrd_noasct,0.4885714285714285,350,171,0.4348091036437922,0.053762324927636274,1,0.05842344090342522,0.8750380538403988,0.8166146129369736,-5.442469892248749,5.240028796437259,KG-DAP
ifm201804_dakrd,0.62,50,31,0.6024914906733295,0.017508509326670474,1,0.11884118989109993,0.8753659166395664,0.7565247267484665,-2.9353461685964164,6.857957461452991,KG-DAP
iskia_isakrd,0.7880794701986755,151,119,0.564514562403403,0.2235649077952725,1,0.11495660617947578,0.875028233975172,0.7600716277956963,-5.367825360283924,7.330539870569545,KG-DAP
iskia_krd,0.6291390728476821,151,95,0.5073230156063941,0.12181605724128797,1,0.09956008568406105,0.8752030842006207,0.7756429985165596,-4.204974038532481,6.119825181768652,KG-DAP
maia_drd,0.3206521739130434,368,118,0.4378176841888206,0.11716551027577721,1,0.0774264745414257,0.8752878196537495,0.7978613451123238,-5.820587530188318,3.69470636467433,KG-DAP
maia_rd,0.1111111111111111,369,41,0.38809349342174676,0.27698238231063566,1,0.0646531842648983,0.8750561140477657,0.8104029297828674,-5.963901591036483,5.337167001902083,KG-DAP
manhattan,0.7073170731707317,41,29,0.54225419233935,0.16506288083138165,1,0.07469670847058296,0.8750532977283001,0.8003565892577171,-3.021714270922357,5.2130159906287545,KG-DAP
master,0.7073170731707317,123,87,0.583981665931574,0.1233354072391577,1,0.11885597929358482,0.875371653586626,0.7565156742930412,-4.143912261258059,7.5057382323223205,KG-DAP
midas_isakrd,0.629582806573957,791,498,0.5554304464040113,0.07415236016994575,1,0.07975928112864494,0.8759199120104313,0.7961606308817863,-5.934308848308516,4.843722919674797,KG-DAP
perseus_dvrd,0.7492957746478873,355,266,0.5577313793094678,0.1915643953384195,1,0.11538588628172874,0.8751394934952259,0.7597536072134972,-5.969617483770194,7.309484255486305,KG-DAP
perseus_vrd,0.480225988700565,354,170,0.48830474176707234,0.00807875306650735,1,0.09295948222279549,0.8750387616455555,0.78207927942276,-5.591232249587363,6.369132911017841,KG-DAP
advance_dakrd,0.5878378378378378,148,87,0.5,0.08783783783783783,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-5.003946305945448,2.000000000000001,Uniform
advance_dakrd,0.5878378378378378,148,87,0.4370241461822928,0.15081369165554503,0,0.4268989525735378,0.4471752904355526,0.02027633786201477,-9.381975815577789,9194.000000002623,Pooled
advance_dakrd,0.5878378378378378,148,87,0.48429123160758575,0.10354660623025208,1,0.0626244954764843,0.8752748109400272,0.8126503154635429,-4.275377157092116,4.148431251102675,EqualWeight
advance_dakrd,0.5878378378378378,148,87,0.4714313960404678,0.11640644179737003,1,0.10407774522900581,0.8830028586089611,0.7789251133799553,-4.526893763153568,5.540426231762091,rMAP
